idea,nisza,bucket,narzedzie,archetyp,plausible,score
tabela referencyjna dla: pszczelarze,pszczelarze,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: pszczelarze,pszczelarze,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: pszczelarze,pszczelarze,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: pszczelarze,pszczelarze,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: pszczelarze,pszczelarze,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: pszczelarze,pszczelarze,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: pszczelarze,pszczelarze,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: pszczelarze,pszczelarze,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: pszczelarze,pszczelarze,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: pszczelarze,pszczelarze,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: pszczelarze,pszczelarze,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: pszczelarze,pszczelarze,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: pszczelarze,pszczelarze,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: pszczelarze,pszczelarze,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: pszczelarze,pszczelarze,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: pszczelarze,pszczelarze,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: pszczelarze,pszczelarze,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: pszczelarze,pszczelarze,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: pszczelarze,pszczelarze,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: pszczelarze,pszczelarze,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: pszczelarze,pszczelarze,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: pszczelarze,pszczelarze,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: pszczelarze,pszczelarze,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: pszczelarze,pszczelarze,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: pszczelarze,pszczelarze,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: pszczelarze,pszczelarze,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: pszczelarze,pszczelarze,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: pszczelarze,pszczelarze,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: pszczelarze,pszczelarze,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: pszczelarze,pszczelarze,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: pszczelarze,pszczelarze,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: pszczelarze,pszczelarze,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: pszczelarze,pszczelarze,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: pszczelarze,pszczelarze,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: pszczelarze,pszczelarze,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: pszczelarze,pszczelarze,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: pszczelarze,pszczelarze,hobby,log zdarzeń,log,1,10
rejestr czynności dla: pszczelarze,pszczelarze,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: pszczelarze,pszczelarze,hobby,notatnik tematyczny,log,1,10
kronika dla: pszczelarze,pszczelarze,hobby,kronika,log,1,10
katalog kolekcji dla: pszczelarze,pszczelarze,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: pszczelarze,pszczelarze,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: pszczelarze,pszczelarze,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: pszczelarze,pszczelarze,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: pszczelarze,pszczelarze,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: pszczelarze,pszczelarze,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: pszczelarze,pszczelarze,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: pszczelarze,pszczelarze,hobby,protokół odbioru,checklist,0,0
lista BHP dla: pszczelarze,pszczelarze,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: pszczelarze,pszczelarze,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: pszczelarze,pszczelarze,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: pszczelarze,pszczelarze,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: pszczelarze,pszczelarze,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: pszczelarze,pszczelarze,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: pszczelarze,pszczelarze,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: pszczelarze,pszczelarze,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: pszczelarze,pszczelarze,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: pszczelarze,pszczelarze,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: pszczelarze,pszczelarze,hobby,monitor dat odnowień,expiry,0,0
kalendarz obowiązków dla: pszczelarze,pszczelarze,hobby,kalendarz obowiązków,expiry,0,0
cennik usług dla: pszczelarze,pszczelarze,hobby,cennik usług,pricebook,0,0
książka cen dla: pszczelarze,pszczelarze,hobby,książka cen,pricebook,0,0
kalkulator marży dla: pszczelarze,pszczelarze,hobby,kalkulator marży,pricebook,0,0
tabela stawek dla: pszczelarze,pszczelarze,hobby,tabela stawek,pricebook,0,0
